Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Drug,Explanation,Level
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Malaria,Urinary Tract Infection,Peptic Ulcer,Rheumatoid Arthritis,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Rheumatoid Arthritis,Diabetes Mellitus,Dengue,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Peptic Ulcer,COVID-19,Hypothyroidism,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Migraine,Tuberculosis,Asthma,Peptic Ulcer,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Easy
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Asthma,Pneumonia,Tuberculosis,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Hypertension,Tuberculosis,Malaria,Typhoid Fever,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Anemia,Asthma,Chickenpox,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Epilepsy,Malaria,COVID-19,Rheumatoid Arthritis,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Hypothyroidism,Hypertension,Rheumatoid Arthritis,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Urinary Tract Infection,Peptic Ulcer,COVID-19,Anemia,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Anemia,COVID-19,Rheumatoid Arthritis,Typhoid Fever,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Dengue,Hypothyroidism,Tuberculosis,Malaria,Dengue,Supportive care,Dengue is viral; management is supportive.,Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Measles,Malaria,Hypothyroidism,Peptic Ulcer,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Chickenpox,Epilepsy,Urinary Tract Infection,COVID-19,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Malaria,Appendicitis,Measles,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Easy
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Asthma,Dengue,Chickenpox,Tuberculosis,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Easy
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Asthma,Diabetes Mellitus,Appendicitis,Migraine,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Hepatitis B,Appendicitis,Malaria,COVID-19,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Moderate
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Dengue,Epilepsy,Chickenpox,Pneumonia,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Easy
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Pneumonia,Typhoid Fever,Asthma,Epilepsy,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Measles,Chickenpox,Peptic Ulcer,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Hard
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Diabetes Mellitus,Anemia,Asthma,Appendicitis,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Rheumatoid Arthritis,Urinary Tract Infection,Tuberculosis,Migraine,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Appendicitis,Epilepsy,Tuberculosis,Malaria,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Easy
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Rheumatoid Arthritis,Dengue,Chickenpox,Appendicitis,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Moderate
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Peptic Ulcer,Urinary Tract Infection,Hypothyroidism,Hypertension,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Moderate
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Typhoid Fever,Rheumatoid Arthritis,Tuberculosis,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Malaria,Diabetes Mellitus,Hepatitis B,Anemia,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Hard
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Tuberculosis,Asthma,Urinary Tract Infection,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",COVID-19,Malaria,Urinary Tract Infection,Diabetes Mellitus,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Moderate
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Rheumatoid Arthritis,Diabetes Mellitus,Dengue,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Urinary Tract Infection,Chickenpox,Anemia,Dengue,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Hard
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Epilepsy,Rheumatoid Arthritis,Urinary Tract Infection,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Peptic Ulcer,Urinary Tract Infection,Asthma,Hypertension,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Peptic Ulcer,Rheumatoid Arthritis,Chickenpox,Tuberculosis,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Diabetes Mellitus,Epilepsy,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Typhoid Fever,Epilepsy,Hypothyroidism,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Urinary Tract Infection,Anemia,Tuberculosis,Typhoid Fever,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Hard
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Anemia,Chickenpox,Peptic Ulcer,Hypothyroidism,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Easy
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Chickenpox,Diabetes Mellitus,Anemia,Asthma,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Epilepsy,Asthma,Typhoid Fever,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Dengue,Epilepsy,Chickenpox,Pneumonia,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Easy
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Urinary Tract Infection,Anemia,Chickenpox,Rheumatoid Arthritis,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Easy
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Typhoid Fever,Hepatitis B,Measles,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Rheumatoid Arthritis,Migraine,Dengue,Pneumonia,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Measles,Malaria,Hypothyroidism,Peptic Ulcer,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",COVID-19,Malaria,Urinary Tract Infection,Diabetes Mellitus,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Moderate
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Epilepsy,Hepatitis B,Typhoid Fever,Pneumonia,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Malaria,Hypertension,Pneumonia,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Hard
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Appendicitis,Hepatitis B,Rheumatoid Arthritis,Dengue,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Diabetes Mellitus,Hypertension,Dengue,Rheumatoid Arthritis,Dengue,Supportive care,Dengue is viral; management is supportive.,Hard
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Typhoid Fever,Hepatitis B,Appendicitis,COVID-19,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Easy
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Typhoid Fever,Pneumonia,Diabetes Mellitus,COVID-19,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Hard
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Diabetes Mellitus,Hypothyroidism,Dengue,Anemia,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Moderate
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Urinary Tract Infection,Anemia,Tuberculosis,Typhoid Fever,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Hard
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Hepatitis B,Appendicitis,Malaria,COVID-19,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Moderate
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Migraine,Urinary Tract Infection,Peptic Ulcer,Diabetes Mellitus,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Moderate
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Rheumatoid Arthritis,Dengue,Chickenpox,Appendicitis,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Moderate
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Measles,Asthma,Hypothyroidism,Anemia,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Easy
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Typhoid Fever,Malaria,Appendicitis,Measles,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Easy
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Asthma,Measles,Urinary Tract Infection,Tuberculosis,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Hard
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Urinary Tract Infection,Epilepsy,Hypertension,Anemia,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Easy
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Epilepsy,Asthma,Anemia,Diabetes Mellitus,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Epilepsy,Peptic Ulcer,Measles,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Malaria,Chickenpox,Hypertension,Tuberculosis,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Chickenpox,Dengue,Rheumatoid Arthritis,Malaria,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Tuberculosis,Pneumonia,Measles,COVID-19,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Hard
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Malaria,Chickenpox,Peptic Ulcer,Hypothyroidism,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Hard
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Hepatitis B,Epilepsy,Peptic Ulcer,Malaria,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Easy
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Chickenpox,Dengue,Peptic Ulcer,Migraine,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Asthma,Diabetes Mellitus,Pneumonia,Dengue,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Moderate
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Measles,Chickenpox,Peptic Ulcer,Dengue,Dengue,Supportive care,Dengue is viral; management is supportive.,Hard
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Measles,Rheumatoid Arthritis,Pneumonia,COVID-19,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Anemia,Rheumatoid Arthritis,Malaria,Measles,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Dengue,Chickenpox,Hypertension,Typhoid Fever,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Migraine,Measles,Tuberculosis,COVID-19,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Easy
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Asthma,Appendicitis,Tuberculosis,Hypertension,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Hard
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Diabetes Mellitus,Asthma,Epilepsy,Migraine,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Easy
"Patient presents with fatigue, pallor, shortness of breath, spoon nails. What is the most likely disease?",Chickenpox,Diabetes Mellitus,Anemia,Asthma,Anemia,Iron supplementation,"Anemia causes pallor, fatigue and breathlessness.",Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Measles,Rheumatoid Arthritis,Hypertension,Asthma,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Rheumatoid Arthritis,Epilepsy,Dengue,Peptic Ulcer,Dengue,Supportive care,Dengue is viral; management is supportive.,Moderate
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Chickenpox,Asthma,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Moderate
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Epilepsy,Appendicitis,Hypertension,COVID-19,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Peptic Ulcer,Epilepsy,Anemia,Malaria,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Moderate
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Measles,Migraine,Epilepsy,COVID-19,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Urinary Tract Infection,Malaria,Chickenpox,Hypertension,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Chickenpox,Asthma,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Moderate
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Diabetes Mellitus,Asthma,Epilepsy,Migraine,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Easy
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Diabetes Mellitus,Epilepsy,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Easy
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Hypothyroidism,Asthma,Dengue,Chickenpox,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Hard
"Patient presents with recurrent unilateral throbbing headache, photophobia, nausea. What is the most likely disease?",Migraine,Urinary Tract Infection,Peptic Ulcer,Diabetes Mellitus,Migraine,Sumatriptan,Migraine presents with recurrent severe unilateral headache.,Moderate
